"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"sostcmet",2016-10-19,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,36,1023,1024,1024,1023.77777777778,0.421637021355784,0,36,0.3,0.5,0.9,0.522222222222222,0.175842642497873,0.225,36,0.7,1,3,1.13055555555556,0.504731580400878,0.225,36,93,195,207,189.444444444444,19.1929219757767,12.25,36,1218.4,36,0
"sostcmet",2016-10-20,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,1020,1022,1023,1021.83333333333,0.913831340728827,1,96,0,0.9,3.7,1.253125,1.09457544040456,1.825,96,0,2.1,7.1,2.95625,2.10417192113292,3.35,96,0,192,318,180.385416666667,49.3957956428782,33,96,5362.2,96,18.3
"sostcmet",2016-10-21,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,1017,1019,1020,1018.52083333333,0.664580067912563,1,96,0,0.25,1.8,0.364583333333333,0.383331426387324,0.4,96,0,0.9,3.2,1.07916666666667,0.774585344645992,0.725,96,0,177,336,152.552083333333,65.9098059618584,66.25,96,16124.2,96,2.1
"sostcmet",2016-10-22,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,1011,1013,1018,1013.40625,2.15004589914287,4,96,0,0.7,3,0.883333333333333,0.722082757564484,0.825,96,0,1.7,7.4,2.15208333333333,1.55400868158969,1.7,96,0,184.5,226,172.572916666667,36.5840761424008,36.5,96,17540.1,96,2.9
"sostcmet",2016-10-23,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,24,1012,1013,1013,1012.95833333333,0.204124145231932,0,24,0,0.1,0.7,0.166666666666667,0.185722248595015,0.225,24,0,0.6,1.3,0.6375,0.467009449676296,0.7,24,0,171.5,198,133.333333333333,73.3897674816762,67.75,24,0,24,1.7
"sostcmet",2016-10-24,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"sostcmet",2016-10-25,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"sostcmet",2016-10-26,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"sostcmet",2016-10-27,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"sostcmet",2016-10-28,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,44,1011,1011,1013,1011.38636363636,0.57933037089983,1,44,0,0.3,2,0.447727272727273,0.476659225142364,0.5,44,0,0.95,4.5,1.36136363636364,1.17259717881428,1.125,44,0,189,348,179.5,75.3051157964469,41.75,44,9096.1,44,2.6
